order_id,order_date,customer_id,status,quantity,unit_price,currency,customer_email,total_amount,imputed_flag,missing_reason,dq_alert,dq_flag
1,2025-09-21,C1000,open,4.0,59.77,GBP,user1@example.com,239.11,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
2,2025-09-21,C1001,open,1.0,40.05,USD,user2@example.com,40.49,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
3,2025-09-27,C1002,closed,4.0,12.86,USD,user3@example.com,50.95,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
4,2025-09-22,C1003,closed,4.0,27.47,EUR,user4@example.com,110.28,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
5,2025-10-03,C1004,closed,3.0,48.06,EUR,user5@example.com,141.5,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
6,2025-09-24,C1005,open,5.0,33.98,EUR,user6@example.com,173.19,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
7,2025-09-09,C1006,closed,4.0,36.71,USD,user7@example.com,148.8,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
8,2025-10-05,C1007,open,2.0,49.27,EUR,user8@example.com,97.35,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
9,2025-10-04,C1008,open,4.0,27.51,EUR,user9@example.com,108.19,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
10,2025-09-21,C1009,open,4.0,34.95,USD,user10@example.com,139.93,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
11,2025-09-14,C1010,closed,1.0,10.62,USD,user11@example.com,10.41,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
12,2025-09-28,C1011,open,2.0,24.68,USD,user12@example.com,49.56,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
13,2025-09-22,C1012,open,4.0,34.33,GBP,user13@example.com,139.42,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
14,2025-09-20,C1013,closed,5.0,49.15,EUR,user14@example.com,250.3,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
15,2025-09-28,C1014,open,2.0,55.71,EUR,user15@example.com,109.26,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
16,2025-09-22,C1015,open,1.0,33.65,USD,user16@example.com,33.08,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
17,2025-09-07,C1016,open,1.0,57.82,USD,user17@example.com,57.37,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
18,2025-10-01,C1017,open,5.0,30.56,GBP,user18@example.com,151.0,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
19,2025-09-10,C1018,closed,1.0,43.69,USD,user19@example.com,44.31,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
20,2025-09-30,C1019,pending,5.0,21.68,EUR,user20@example.com,108.16,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
21,2025-09-28,C1020,closed,5.0,40.39,GBP,user21@example.com,205.64,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
22,2025-09-10,C1021,open,2.0,13.02,USD,user22@example.com,25.9,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
23,2025-09-09,C1022,closed,1.0,43.29,EUR,user23@example.com,42.83,True,assign dq_alert = mean_total_amount_shift,mean_total_amount_shift,
