order_id,order_date,customer_id,status,quantity,unit_price,currency,customer_email,total_amount
1,2025-09-21,C1000,open,4.0,59.77,GBP,user1@example.com,239.11
2,2025-09-21,C1001,open,1.0,40.05,USD,user2@example.com,40.49
3,2025-09-27,C1002,closed,4.0,12.86,USD,user3@example.com,50.95
4,2025-09-22,C1003,closed,4.0,27.47,EUR,user4@example.com,110.28
5,2025-10-03,C1004,closed,3.0,48.06,EUR,user5@example.com,141.5
6,2025-09-24,C1005,open,5.0,33.98,EUR,user6@example.com,173.19
7,2025-09-09,C1006,closed,4.0,36.71,USD,user7@example.com,148.8
8,2025-10-05,C1007,open,2.0,49.27,EUR,user8@example.com,97.35
9,2025-10-04,C1008,open,4.0,27.51,EUR,user9@example.com,108.19
10,2025-09-21,C1009,open,4.0,34.95,USD,user10@example.com,139.93
11,2025-09-14,C1010,closed,1.0,10.62,USD,user11@example.com,10.41
12,2025-09-28,C1011,open,2.0,24.68,USD,user12@example.com,49.56
13,2025-09-22,C1012,open,4.0,34.33,GBP,user13@example.com,139.42
14,2025-09-20,C1013,closed,5.0,49.15,EUR,user14@example.com,250.3
15,2025-09-28,C1014,open,2.0,55.71,EUR,user15@example.com,109.26
16,2025-09-22,C1015,open,1.0,33.65,USD,user16@example.com,33.08
17,2025-09-07,C1016,open,1.0,57.82,USD,user17@example.com,57.37
18,2025-10-01,C1017,open,5.0,30.56,GBP,user18@example.com,151.0
19,2025-09-10,C1018,closed,1.0,43.69,USD,user19@example.com,44.31
20,2025-09-30,C1019,pending,5.0,21.68,EUR,user20@example.com,108.16
21,2025-09-28,C1020,closed,5.0,40.39,GBP,user21@example.com,205.64
22,2025-09-10,C1021,open,2.0,13.02,USD,user22@example.com,25.9
23,2025-09-09,C1022,closed,1.0,43.29,EUR,user23@example.com,42.83
24,2025-09-16,C1023,open,3.0,40.88,GBP,user24@example.com,124.49
25,2025-09-27,C1024,open,3.0,47.22,USD,user25@example.com,140.46
26,2025-09-19,C1025,closed,3.0,19.46,USD,user26@example.com,57.96
27,2025-09-19,C1026,open,4.0,15.37,USD,user27@example.com,61.5
28,2025-10-02,C1027,open,1.0,59.16,USD,user28@example.com,59.21
29,2025-09-10,C1028,open,2.0,36.54,GBP,user29@example.com,72.36
30,2025-09-24,C1029,open,5.0,55.57,EUR,user30@example.com,277.01
31,2025-09-10,C1030,closed,5.0,31.8,EUR,user31@example.com,159.78
32,2025-09-16,C1031,closed,3.0,36.3,USD,user32@example.com,109.58
33,2025-09-12,C1032,open,5.0,46.7,GBP,user33@example.com,233.57
34,2025-10-04,C1033,open,4.0,21.82,USD,user34@example.com,87.57
35,2025-10-02,C1034,closed,2.0,54.03,EUR,user35@example.com,107.16
36,2025-10-02,C1035,closed,5.0,15.64,USD,user36@example.com,78.37
37,2025-10-03,C1036,open,2.0,55.81,USD,user37@example.com,112.17
38,2025-09-19,C1037,open,5.0,32.59,GBP,user38@example.com,165.21
39,2025-09-08,C1038,closed,4.0,58.69,USD,user39@example.com,235.84
40,2025-09-12,C1039,pending,4.0,26.83,USD,user40@example.com,107.32
41,2025-09-15,C1040,open,1.0,32.4,EUR,user41@example.com,32.58
42,2025-09-22,C1041,pending,1.0,54.22,USD,user42@example.com,54.74
43,2025-09-10,C1042,open,3.0,12.81,USD,user43@example.com,38.64
44,2025-09-20,C1043,pending,3.0,52.26,USD,user44@example.com,159.72
45,2025-10-01,C1044,closed,4.0,25.73,USD,user45@example.com,103.62
46,2025-09-15,C1045,open,4.0,56.57,USD,user46@example.com,230.15
47,2025-09-24,C1046,open,3.0,31.54,EUR,user47@example.com,93.34
48,2025-09-09,C1047,open,1.0,45.67,USD,user48@example.com,44.77
49,2025-09-28,C1048,pending,1.0,31.62,USD,user49@example.com,31.01
50,2025-09-22,C1049,closed,2.0,10.08,USD,user50@example.com,20.04
51,2025-09-06,C1050,open,1.0,16.16,GBP,user51@example.com,15.92
52,2025-09-17,C1051,open,5.0,45.81,USD,user52@example.com,224.84
53,2025-10-04,C1052,open,5.0,26.51,USD,user53@example.com,130.92
54,2025-09-18,C1053,open,1.0,36.9,EUR,user54@example.com,37.14
55,2025-09-29,C1054,pending,2.0,12.46,USD,user55@example.com,24.8
56,2025-09-26,C1055,closed,5.0,51.15,USD,user56@example.com,254.63
57,2025-09-14,C1056,pending,4.0,50.23,USD,user57@example.com,203.99
58,2025-09-06,C1057,open,1.0,40.28,EUR,user58@example.com,40.63
59,2025-10-05,C1058,open,5.0,22.27,GBP,user59@example.com,110.39
60,2025-09-16,C1059,closed,2.0,27.98,USD,user60@example.com,56.28
61,2025-09-07,C1060,open,1.0,37.77,EUR,user61@example.com,37.44
62,2025-10-05,C1061,closed,5.0,49.44,USD,user62@example.com,247.87
63,2025-10-03,C1062,open,1.0,16.31,USD,user63@example.com,16.32
64,2025-09-19,C1063,pending,1.0,19.67,USD,user64@example.com,19.69
65,2025-10-04,C1064,closed,2.0,38.44,USD,user65@example.com,78.27
66,2025-09-24,C1065,pending,4.0,54.22,USD,user66@example.com,218.45
67,2025-09-27,C1066,open,4.0,16.23,USD,user67@example.com,64.42
68,2025-09-08,C1067,pending,2.0,15.75,EUR,user68@example.com,31.72
69,2025-09-20,C1068,closed,3.0,42.62,USD,user69@example.com,129.66
70,2025-09-09,C1069,pending,1.0,14.95,EUR,user70@example.com,15.04
71,2025-09-13,C1070,open,1.0,10.37,GBP,user71@example.com,10.55
72,2025-09-26,C1071,open,3.0,29.18,USD,user72@example.com,87.88
73,2025-09-07,C1072,open,2.0,16.15,GBP,user73@example.com,32.07
74,2025-10-01,C1073,closed,5.0,18.04,EUR,user74@example.com,89.15
75,2025-09-13,C1074,open,2.0,13.03,EUR,user75@example.com,26.05
76,2025-09-21,C1075,closed,2.0,13.79,GBP,user76@example.com,27.55
77,2025-10-01,C1076,closed,5.0,25.6,EUR,user77@example.com,128.08
78,2025-09-12,C1077,open,5.0,47.75,USD,user78@example.com,235.38
79,2025-09-16,C1078,closed,1.0,25.85,EUR,user79@example.com,26.15
80,2025-09-24,C1079,closed,4.0,39.52,USD,user80@example.com,157.89
81,2025-09-22,C1080,closed,3.0,29.02,USD,user81@example.com,86.4
82,2025-09-26,C1081,open,3.0,33.76,GBP,user82@example.com,102.75
83,2025-09-24,C1082,closed,5.0,23.1,USD,user83@example.com,117.03
84,2025-09-19,C1083,closed,2.0,38.36,GBP,user84@example.com,77.61
85,2025-09-28,C1084,open,3.0,49.19,USD,user85@example.com,149.36
86,2025-09-17,C1085,closed,4.0,35.64,EUR,user86@example.com,141.17
87,2025-09-29,C1086,open,5.0,24.3,GBP,user87@example.com,121.06
88,2025-09-12,C1087,open,4.0,12.18,EUR,user88@example.com,48.34
89,2025-09-24,C1088,open,4.0,41.9,USD,user89@example.com,165.13
90,2025-09-25,C1089,closed,3.0,52.58,USD,user90@example.com,155.37
91,2025-09-22,C1090,open,2.0,47.68,USD,user91@example.com,96.45
92,2025-09-27,C1091,open,2.0,29.2,EUR,user92@example.com,58.43
93,2025-09-17,C1092,closed,4.0,28.57,GBP,user93@example.com,114.73
94,2025-10-04,C1093,open,4.0,18.69,EUR,user94@example.com,73.76
95,2025-09-20,C1094,open,5.0,55.23,GBP,user95@example.com,279.27
96,2025-09-07,C1095,closed,3.0,57.0,USD,user96@example.com,169.41
97,2025-09-27,C1096,closed,2.0,17.9,EUR,user97@example.com,35.31
98,2025-09-14,C1097,open,1.0,58.78,USD,user98@example.com,58.65
99,2025-09-21,C1098,pending,1.0,24.89,USD,user99@example.com,24.56
100,2025-09-13,C1099,open,4.0,42.95,USD,user100@example.com,174.88
101,2025-09-26,C1100,closed,1.0,33.17,USD,user101@example.com,33.71
102,2025-09-11,C1101,closed,1.0,54.58,USD,user102@example.com,53.99
103,2025-09-08,C1102,closed,4.0,42.34,GBP,user103@example.com,167.79
104,2025-09-25,C1103,closed,4.0,47.74,EUR,user104@example.com,190.87
105,2025-09-16,C1104,closed,1.0,40.2,USD,user105@example.com,40.02
106,2025-09-29,C1105,closed,1.0,35.47,USD,user106@example.com,34.91
107,2025-09-30,C1106,open,1.0,40.04,GBP,user107@example.com,40.19
108,2025-10-02,C1107,open,4.0,22.66,GBP,user108@example.com,90.46
109,2025-09-11,C1108,open,5.0,24.4,USD,user109@example.com,121.53
110,2025-10-02,C1109,open,4.0,32.46,USD,user110@example.com,128.9
111,2025-10-02,C1110,open,1.0,41.56,USD,user111@example.com,41.74
112,2025-09-22,C1111,open,3.0,11.66,EUR,user112@example.com,34.95
113,2025-09-18,C1112,closed,3.0,43.74,EUR,user113@example.com,131.23
114,2025-09-13,C1113,closed,4.0,28.55,USD,user114@example.com,114.25
115,2025-09-15,C1114,closed,5.0,10.27,USD,user115@example.com,50.82
116,2025-09-09,C1115,closed,4.0,44.19,USD,user116@example.com,175.93
117,2025-09-09,C1116,closed,1.0,40.06,USD,user117@example.com,40.48
118,2025-09-16,C1117,open,2.0,32.44,EUR,user118@example.com,64.85
119,2025-09-30,C1118,closed,2.0,27.91,USD,user119@example.com,56.02
120,2025-09-12,C1119,open,4.0,49.13,USD,user120@example.com,197.11
121,2025-09-15,C1120,pending,5.0,11.44,EUR,user121@example.com,57.98
122,2025-10-05,C1121,open,3.0,23.26,GBP,user122@example.com,69.17
123,2025-09-08,C1122,closed,3.0,38.81,GBP,user123@example.com,114.59
124,2025-09-17,C1123,open,2.0,48.62,USD,user124@example.com,97.16
125,2025-09-22,C1124,closed,5.0,44.22,USD,user125@example.com,222.12
126,2025-10-02,C1125,pending,5.0,27.72,EUR,user126@example.com,138.62
127,2025-09-24,C1126,closed,2.0,32.43,EUR,user127@example.com,64.1
128,2025-09-21,C1127,open,4.0,43.4,USD,user128@example.com,174.34
129,2025-09-17,C1128,open,5.0,37.75,USD,user129@example.com,187.59
130,2025-09-16,C1129,closed,3.0,36.29,USD,user130@example.com,107.81
131,2025-09-19,C1130,closed,2.0,51.87,USD,user131@example.com,102.68
132,2025-09-19,C1131,open,5.0,47.37,USD,user132@example.com,233.22
133,2025-09-16,C1132,open,5.0,16.07,USD,user133@example.com,79.41
134,2025-09-22,C1133,closed,4.0,40.05,EUR,user134@example.com,162.56
135,2025-09-22,C1134,open,5.0,28.17,USD,user135@example.com,141.44
136,2025-09-23,C1135,closed,2.0,24.28,USD,user136@example.com,48.27
137,2025-09-06,C1136,closed,3.0,21.08,USD,user137@example.com,63.86
138,2025-09-26,C1137,open,3.0,19.26,EUR,user138@example.com,57.69
139,2025-09-17,C1138,closed,3.0,59.81,EUR,user139@example.com,177.51
140,2025-10-03,C1139,open,5.0,31.13,USD,user140@example.com,155.4
141,2025-09-24,C1140,pending,1.0,15.04,USD,user141@example.com,15.21
142,2025-09-18,C1141,closed,2.0,53.36,USD,user142@example.com,106.01
143,2025-09-20,C1142,open,5.0,28.94,GBP,user143@example.com,143.25
144,2025-09-07,C1143,open,3.0,50.95,EUR,user144@example.com,150.54
