order_id,order_date,customer_id,status,quantity,unit_price,currency,country,customer_email,postal_code,total_amount
1,2025-07-29,C4661,open,3.0,119.23,USD,US,c46618851@corp.com,62923,330.14
2,2025-08-08,C9398,pending,14.0,82.17,EUR,DE,,18613,1248.99
3,2025-09-26,C8014,pending,7.0,81.24,EUR,FR,,29926,590.53
4,2025-07-25,C7490,open,5.0,19.54,USD,US,c74908223@shop.net,78307,107.46
5,2025-06-13,C3945,open,3.0,49.59,USD,US,c3945605@shop.net,31356,-157.9
6,2025-06-30,C6457,open,8.0,33.1,EUR,DE,c64572899@shop.net,36230,253.35
7,2025-07-19,C6031,closed,9.0,8.33,GBP,GB,c60318847@example.com,EC1A 1BB,87.84
8,2025-08-22,C4632,closed,12.0,51.85,GBP,GB,c46322094@corp.com,SW1A 1AA,579.83
9,2025-07-30,C9343,,6.0,14.07,GBP,GB,c93439423@shop.net,W1A 0AX,97.51
10,2025-09-15,C2076,pending,4.0,61.28,GBP,GB,c20763046@shop.net,W1A 0AX,264.01
11,2025-08-24,C4456,closed,14.0,56.69,USD,US,c44563519@shop.net,64207,829.8
12,2025-09-26,C8276,pending,8.0,30.78,EUR,DE,c82764314@shop.net,92662,282.76
13,2025-07-12,C8245,open,4.0,101.78,JPY,US,,24533,477.89
14,2025-07-28,C1368,closed,1.0,90.05,EUR,DE,,13454,105.13
15,2025-07-16,C6066,open,1.0,47.99,GBP,GB,c60668530@corp.com,W1A 0AX,54.83
16,2025-10-05,C4752,open,5.0,65.01,GBP,GB,c47529883@shop.net,B33 8TH,383.55
17,2025-07-04,C1206,closed,7.0,76.99,USD,US,c12061066@corp.com,57581,606.77
18,2025-07-27,C4043,pending,14.0,76.92,EUR,FR,,17154,1204.15
19,2025-07-28,C6157,open,5.0,40.43,AUD,US,,18436,236.07
20,2025-09-16,C6402,open,6.0,28.46,EUR,DE,c64029153@example.com,57300,190.04
21,2025-08-17,C8324,closed,1.0,26.17,EUR,DE,,52323,29.51
22,2025-08-01,C7620,,8.0,99.29,EUR,FR,c76208663@corp.com,66176,779.42
23,2025-07-22,C3652,closed,10.0,97.91,USD,US,c36522600@mail.org,29067,917.8
24,2025-12-03,C7734,open,6.0,50.29,USD,US,c77343230@example.com,83296,313.28
25,2025-07-10,C2584,pending,7.0,15.52,USD,US,,17485,120.98
26,2025-10-20,C1778,pending,1.0,27.63,GBP,GB,,XXXXX,26.27
27,2025-09-17,C1258,open,4.0,91.32,EUR,DE,c1258214@corp.com,XXXXX,344.03
28,2025-06-18,C4544,closed,3.0,68.56,USD,US,c45442195@example.com,XXXXX,232.44
29,2025-06-30,C3486,open,6.0,42.33,GBP,GB,c34863721@corp.com,XXXXX,-290.74
30,2025-11-08,C5626,open,12.0,72.47,EUR,DE,c56266563@shop.net,39683,-962.36
31,2025-11-13,C1863,open,7.0,21.83,EUR,DE,,75656,143.45
32,2025-06-08,C4660,,1.0,24.09,USD,US,,30031,25.23
33,2025-10-18,C1241,closed,10.0,64.69,USD,US,c1241759@mail.org,42547,710.28
34,2025-09-05,C8463,pending,14.0,64.46,USD,US,c84639631@corp.com,69874,-843.87
35,2025-09-02,C4005,open,5.0,11.65,USD,US,c40056999@mail.org,71091,54.41
36,2025-09-18,C7304,open,10.0,9.82,EUR,FR,,24692,107.54
37,2025-08-26,C7393,closed,10.0,74.01,GBP,GB,c73935880@mail.org,B33 8TH,858.83
38,2025-09-16,C9711,closed,6.0,88.98,GBP,GB,c97117451@corp.com,B33 8TH,558.4
39,2025-06-15,C8989,pending,10.0,20.3,GBP,GB,c89898796@example.com,SW1A 1AA,217.17
40,2025-07-01,C6482,open,7.0,90.06,JPY,US,c64827740@example.com,77656,714.86
41,2025-09-12,C9128,pending,12.0,53.08,EUR,FR,,66132,683.02
42,2025-11-08,C8421,closed,6.0,114.85,GBP,GB,c84217804@mail.org,W1A 0AX,822.69
43,2025-11-18,C6964,pending,9.0,24.51,USD,US,,78787,258.31
44,2025-06-25,C8791,pending,8.0,81.94,GBP,GB,c87919034@example.com,XXXXX,698.86
45,2025-06-16,C7740,closed,14.0,108.84,GBP,GB,,W1A 0AX,1394.47
46,2025-07-22,C4039,pending,9.0,118.94,USD,US,,88481,1110.23
47,2025-10-04,C8846,open,8.0,75.26,AUD,FR,,32055,572.31
48,2025-08-21,C8992,open,1.0,30.74,GBP,GB,,M1 1AE,31.79
49,2025-06-12,C5613,open,9.0,109.28,BTC,US,c56139368@corp.com,XXXXX,1014.53
50,2025-08-19,C2082,closed,4.0,23.64,AUD,GB,,SW1A 1AA,95.09
51,2025-08-25,C2549,closed,14.0,11.05,EUR,FR,c25493517@example.com,18223,139.91
52,2025-09-27,C9085,pending,7.0,32.11,EUR,DE,c90852568@mail.org,62805,203.06
53,2025-09-16,C7079,open,12.0,31.04,EUR,FR,c70793163@corp.com,48685,417.65
54,2025-08-02,C7159,open,2.0,41.22,USD,US,,28186,81.71
388,2025-08-12,C5817,open,1.0,9.13,USD,US,,25785,8.77
56,2025-08-13,C5757,pending,9.0,109.0,GBP,GB,c57572446@mail.org,SW1A 1AA,957.3
57,2025-09-20,C5299,,9.0,6.13,AUD,US,,24849,56.4
1255,2025-09-04,C8933,open,5.0,9999.0,EUR,FR,,11555,47980.79
59,2025-06-12,C6573,,9.0,66.92,USD,US,,52740,671.57
60,2025-09-03,C9292,open,10.0,63.89,EUR,DE,c92925933@shop.net,24290,680.2
61,2025-08-24,C4823,open,2.0,78.73,USD,US,c48236939@shop.net,54505,165.5
62,2025-09-17,C6181,closed,13.0,57.82,EUR,FR,,19261,-684.5
1065,2025-09-12,C1890,open,1.0,71.3,GBP,GB,c18909160@shop.net,B33 8TH,82.11
64,2025-07-17,C8546,,5.0,26.73,GBP,GB,c85467418@mail.org,M1 1AE,149.48
65,2025-10-18,C3415,closed,1.0,57.24,EUR,DE,c34154465@mail.org,55448,57.82
66,2025-06-20,C2936,,4.0,21.1,USD,US,,XXXXX,94.67
67,2025-09-28,C5906,,3.0,62.0,USD,US,c59069275@example.com,74457,-192.03
68,2025-10-05,C8469,open,2.0,87.76,USD,US,,65321,158.34
69,2025-09-20,C1524,open,1.0,95.88,GBP,GB,,M1 1AE,108.99
70,2025-07-22,C6640,closed,8.0,83.25,EUR,DE,c6640260@example.com,15375,712.6
71,2025-08-23,C6868,closed,9.0,37.76,USD,US,c68687130@corp.com,56974,389.76
72,2025-09-07,C9785,open,7.0,7.46,USD,US,,27472,53.62
73,2025-07-20,C3091,closed,3.0,76.69,GBP,GB,,EC1A 1BB,231.84
74,2025-07-16,C8166,closed,3.0,82.62,USD,US,c81669909@corp.com,96211,291.21
75,2025-11-01,C9019,closed,9.0,112.48,USD,US,,74496,945.12
76,2025-08-11,C9156,open,6.0,108.7,EUR,DE,,90485,691.06
77,2025-08-30,C8211,open,14.0,101.68,USD,US,c82114273@example.com,20389,1588.6
78,2025-07-12,C7993,pending,1.0,60.71,EUR,FR,c79937072@corp.com,19444,70.41
79,2025-06-12,C3357,open,5.0,35.17,EUR,DE,c3357259@mail.org,49731,176.34
80,2025-07-17,C2380,open,9.0,24.46,EUR,DE,c23804906@shop.net,59879,239.56
81,2025-07-13,C1132,pending,9.0,65.06,EUR,FR,c11322930@mail.org,49755,640.44
82,2025-10-08,C1658,open,13.0,76.99,USD,US,c16588907@corp.com,89048,955.42
83,2025-07-03,C4645,open,14.0,119.15,EUR,FR,c46458160@mail.org,46535,1639.54
84,2025-07-07,C6876,closed,4.0,108.85,USD,US,c68762626@mail.org,60886,479.66
85,2025-07-27,C4646,open,8.0,68.29,EUR,FR,c46469617@mail.org,80006,545.5
86,2025-12-02,C8035,open,9.0,50.42,GBP,GB,,EC1A 1BB,484.41
87,2025-09-23,C2693,open,8.0,69.76,EUR,FR,c26932744@mail.org,51595,660.32
88,2025-06-22,C1668,open,9.0,61.66,USD,US,c16683021@example.com,80096,584.24
201,2025-08-22,C3943,open,13.0,93.5,EUR,FR,c39437637@shop.net,XXXXX,1309.76
90,2025-09-24,C9891,open,2.0,41.2,AUD,DE,c98911627@example.com,34199,75.26
91,2025-06-28,C9505,open,6.0,42.55,JPY,GB,,W1A 0AX,271.59
92,2025-06-24,C3721,open,9.0,99.21,GBP,GB,c37218923@example.com,XXXXX,969.59
93,2025-12-04,C1673,closed,6.0,57.52,JPY,GB,,SW1A 1AA,311.02
94,2025-08-12,C3832,closed,5.0,55.87,BTC,DE,c38326471@example.com,XXXXX,261.67
95,2025-08-19,C7127,open,9.0,63.24,AUD,GB,,M1 1AE,526.68
96,2025-09-03,C3732,open,13.0,8.65,USD,US,,73924,116.63
97,2025-11-21,C8062,open,4.0,54.19,GBP,GB,,EC1A 1BB,213.58
98,2025-06-30,C5204,closed,9.0,101.77,USD,US,c52047120@corp.com,10287,-1023.4
99,2025-06-22,C7056,open,2.0,41.68,USD,US,c70569457@corp.com,86920,88.73
100,2025-07-28,C2451,closed,6.0,19.09,EUR,DE,c24519099@example.com,XXXXX,136.85
843,2025-06-10,C8976,open,10.0,18.93,EUR,FR,c89764011@mail.org,52046,183.98
102,2025-08-22,C2500,open,6.0,35.87,EUR,DE,c25008607@shop.net,XXXXX,200.29
103,2025-09-20,C8437,pending,2.0,52.21,JPY,GB,c8437493@example.com,SW1A 1AA,105.21
104,2025-10-05,C8581,open,4.0,63.85,GBP,GB,c85815106@corp.com,B33 8TH,267.69
105,2025-07-01,C2268,open,3.0,15.46,GBP,GB,,SW1A 1AA,42.96
106,2025-07-14,C1588,,11.0,21.58,GBP,GB,,SW1A 1AA,224.39
107,2025-10-04,C9606,,1.0,32.72,AUD,US,,61645,29.87
108,2025-07-05,C6550,open,14.0,90.33,USD,US,c65507154@example.com,61393,1432.9
109,2025-07-13,C7506,open,12.0,99.67,USD,US,c75069567@mail.org,45211,1136.51
110,2025-09-14,C9718,open,4.0,107.44,USD,US,c97189412@example.com,60724,414.42
111,2025-08-19,C5224,closed,14.0,52.26,EUR,FR,,73093,678.1
112,2025-07-28,C5162,pending,10.0,18.63,GBP,GB,c51628056@mail.org,W1A 0AX,199.57
113,2025-08-21,C5361,closed,3.0,13.9,USD,US,c53612838@corp.com,63687,42.94
114,2025-06-19,C2040,open,8.0,103.86,AUD,GB,c20406685@mail.org,M1 1AE,776.47
115,2025-11-15,C1160,closed,10.0,58.33,GBP,GB,c11606482@example.com,EC1A 1BB,658.58
116,2025-09-02,C9345,open,13.0,24.42,EUR,DE,c9345116@example.com,96784,352.01
117,2025-11-07,C9915,open,10.0,82.45,JPY,US,c99159179@example.com,23817,780.66
118,2025-08-06,C9130,open,10.0,12.74,GBP,GB,c91301280@mail.org,SW1A 1AA,136.86
119,2025-09-10,C6879,,3.0,86.56,USD,US,c68796716@shop.net,10371,236.46
120,2025-06-26,C1718,open,1.0,33.72,GBP,GB,c17186684@mail.org,EC1A 1BB,39.22
121,2025-08-13,C2840,open,6.0,12.37,BTC,FR,c28403642@mail.org,44221,88.56
122,2025-08-31,C4576,closed,10.0,88.11,USD,US,c4576281@corp.com,33624,876.61
123,2025-11-19,C8209,closed,10.0,40.47,EUR,FR,c82095442@shop.net,69552,382.57
124,2025-09-01,C8514,open,5.0,16.69,GBP,GB,c85148437@corp.com,XXXXX,87.76
125,2025-08-13,C9078,closed,14.0,116.14,EUR,DE,c90781871@mail.org,60652,1799.33
126,2025-07-27,C1341,open,10.0,74.78,EUR,DE,,65163,894.07
127,2025-11-17,C3217,open,6.0,39.0,USD,US,,XXXXX,245.69
128,2025-09-08,C7857,open,14.0,106.71,USD,US,,13435,1472.04
129,2025-08-01,C1103,open,1.0,0.0,JPY,US,c11034056@corp.com,84728,0.0
130,2025-09-20,C1193,pending,14.0,6.64,GBP,GB,c11934373@corp.com,SW1A 1AA,106.12
131,2025-08-04,C9012,open,11.0,115.15,BTC,US,c90125270@example.com,91198,1498.4
132,2025-10-05,C1852,closed,1.0,116.9,EUR,DE,c18527820@mail.org,68499,132.57
133,2025-10-26,C7841,open,11.0,53.08,EUR,DE,c78412294@mail.org,61570,620.46
134,2025-10-20,C9222,closed,12.0,49.78,EUR,FR,c92221821@corp.com,38090,667.73
476,2025-09-17,C9104,open,4.0,55.07,JPY,DE,,16295,213.46
136,2025-06-22,C4878,,13.0,55.73,USD,US,c48782298@example.com,46476,806.06
137,2025-10-04,C6141,open,13.0,63.23,EUR,DE,,94893,756.96
138,2025-10-11,C2209,closed,1.0,89.33,EUR,DE,,21584,105.86
139,2025-07-09,C1674,closed,13.0,79.19,GBP,GB,c16743397@mail.org,M1 1AE,953.21
140,2025-10-20,C5987,pending,1.0,37.57,EUR,FR,,49391,41.49
141,2025-11-24,C5507,closed,3.0,16.2,USD,US,,67935,48.53
142,2025-07-23,C3867,open,12.0,87.64,GBP,GB,,W1A 0AX,1051.13
143,2025-09-23,C2962,open,6.0,54.94,EUR,DE,,33017,386.41
144,2025-09-09,C2308,open,9.0,55.51,USD,US,,69119,-580.46
145,2025-07-26,C4264,closed,11.0,15.78,EUR,DE,c4264566@example.com,71964,168.06
146,2025-10-14,C4334,open,9.0,62.4,EUR,FR,,11066,555.23
147,2025-10-27,C7324,open,14.0,79.04,USD,US,,70688,1065.7
148,2025-08-20,C5609,closed,1.0,23.56,EUR,DE,c5609862@example.com,44001,27.78
149,2025-11-12,C8633,closed,10.0,49.7,GBP,GB,,SW1A 1AA,564.33
150,2025-08-03,C1495,open,11.0,30.48,EUR,DE,,XXXXX,338.78
151,2025-08-25,C5260,closed,10.0,78.35,GBP,GB,,EC1A 1BB,735.06
152,2025-09-11,C5044,closed,6.0,117.52,USD,US,c50444325@shop.net,10678,693.48
